595,595,605,605
595,595,605,605
595.07,595.07,604.93,604.93
595.13,595.13,604.87,604.87
595.2,595.2,604.8,604.8
595.27,595.27,604.73,604.73
595.33,595.33,604.67,604.67
595.39,595.39,604.61,604.61
595.46,595.46,604.54,604.54
595.52,595.52,604.48,604.48
595.58,595.58,604.42,604.42
595.64,595.64,604.36,604.36
595.7,595.7,604.3,604.3
595.76,595.76,604.24,604.24
595.81,595.81,604.18,604.18
595.87,595.87,604.12,604.12
595.93,595.93,604.07,604.07
595.98,595.98,604.01,604.01
596.04,596.04,603.96,603.96
596.09,596.09,603.9,603.9
596.14,596.14,603.85,603.85
596.19,596.19,603.8,603.8
596.25,596.25,603.74,603.74
596.3,596.3,603.69,603.69
596.35,596.35,603.64,603.64
596.39,596.39,603.59,603.59
596.44,596.44,603.54,603.54
596.49,596.49,603.49,603.49
596.54,596.54,603.44,603.44
596.58,596.58,603.4,603.4
596.63,596.63,603.35,603.35
596.68,596.68,603.3,603.3
596.72,596.72,603.26,603.26
596.76,596.76,603.21,603.21
596.81,596.81,603.17,603.17
596.85,596.85,603.12,603.12
596.89,596.89,603.08,603.08
596.93,596.93,603.04,603.04
596.97,596.97,602.99,602.99
597.01,597.01,602.95,602.95
597.05,597.05,602.91,602.91
597.09,597.09,602.87,602.87
597.13,597.13,602.83,602.83
597.17,597.17,602.79,602.79
597.21,597.21,602.75,602.75
597.24,597.24,602.71,602.71
597.28,597.28,602.67,602.67
597.31,597.31,602.63,602.63
597.35,597.35,602.6,602.6
597.38,597.38,602.56,602.56
597.42,597.42,602.52,602.52
597.45,597.45,602.49,602.49
597.48,597.48,602.45,602.45
597.52,597.52,602.42,602.42
597.55,597.55,602.38,602.38
597.58,597.58,602.35,602.35
597.61,597.61,602.31,602.31
597.64,597.64,602.28,602.28
597.67,597.67,602.25,602.25
597.7,597.7,602.21,602.21
597.73,597.73,602.18,602.18
597.76,597.76,602.15,602.15
597.79,597.79,602.12,602.12
597.82,597.82,602.09,602.09
597.85,597.85,602.06,602.06
597.87,597.87,602.03,602.03
597.9,597.9,602,602
597.93,597.93,601.97,601.97
597.95,597.95,601.94,601.94
597.98,597.98,601.91,601.91
598,598,601.88,601.88
598.03,598.03,601.85,601.85
598.05,598.05,601.82,601.82
598.08,598.08,601.8,601.8
598.1,598.1,601.77,601.77
598.12,598.12,601.74,601.74
598.15,598.15,601.72,601.72
598.17,598.17,601.69,601.69
598.19,598.19,601.66,601.66
598.21,598.21,601.64,601.64
598.23,598.23,601.61,601.61
598.26,598.26,601.59,601.59
598.28,598.28,601.56,601.56
598.3,598.3,601.54,601.54
598.32,598.32,601.51,601.51
598.34,598.34,601.49,601.49
598.36,598.36,601.47,601.47
598.38,598.38,601.44,601.44
598.39,598.39,601.42,601.42
598.41,598.41,601.4,601.4
598.43,598.43,601.37,601.37
598.45,598.45,601.35,601.35
598.47,598.47,601.33,601.33
598.48,598.48,601.31,601.31
598.5,598.5,601.29,601.29
598.52,598.52,601.26,601.26
598.54,598.54,601.24,601.24
598.55,598.55,601.22,601.22
598.57,598.57,601.2,601.2
598.58,598.58,601.18,601.18
598.6,598.6,601.16,601.16
598.61,598.61,601.14,601.14
598.63,598.63,601.12,601.12
598.64,598.64,601.1,601.1
598.66,598.66,601.08,601.08
598.67,598.67,601.06,601.06
598.69,598.69,601.04,601.04
598.7,598.7,601.02,601.02
598.71,598.71,601.01,601.01
598.73,598.73,600.99,600.99
598.74,598.74,600.97,600.97
598.75,598.75,600.95,600.95
598.77,598.77,600.93,600.93
598.78,598.78,600.92,600.92
598.79,598.79,600.9,600.9
598.8,598.8,600.88,600.88
598.81,598.81,600.86,600.86
598.82,598.82,600.85,600.85
598.84,598.84,600.83,600.83
598.85,598.85,600.81,600.81
598.86,598.86,600.8,600.8
598.87,598.87,600.78,600.78
598.88,598.88,600.76,600.76
598.89,598.89,600.75,600.75
598.9,598.9,600.73,600.73
598.91,598.91,600.72,600.72
598.92,598.92,600.7,600.7
598.93,598.93,600.68,600.68
598.94,598.94,600.67,600.67
598.95,598.95,600.65,600.65
598.95,598.95,600.64,600.64
598.96,598.96,600.62,600.62
598.97,598.97,600.61,600.61
598.98,598.98,600.59,600.59
598.99,598.99,600.58,600.58
599,599,600.57,600.57
599,599,600.55,600.55
599.01,599.01,600.54,600.54
599.02,599.02,600.52,600.52
599.03,599.03,600.51,600.51
599.03,599.03,600.5,600.5
599.04,599.04,600.48,600.48
599.05,599.05,600.47,600.47
599.05,599.05,600.45,600.45
599.06,599.06,600.44,600.44
599.07,599.07,600.43,600.43
599.07,599.07,600.41,600.41
599.08,599.08,600.4,600.4
599.08,599.08,600.39,600.39
599.09,599.09,600.38,600.38
599.1,599.1,600.36,600.36
599.1,599.1,600.35,600.35
599.11,599.11,600.34,600.34
599.11,599.11,600.33,600.33
599.12,599.12,600.31,600.31
599.12,599.12,600.3,600.3
599.13,599.13,600.29,600.29
599.13,599.13,600.28,600.28
599.13,599.13,600.26,600.26
599.14,599.14,600.25,600.25
599.14,599.14,600.24,600.24
599.15,599.15,600.23,600.23
599.15,599.15,600.22,600.22
599.15,599.15,600.21,600.21
599.16,599.16,600.19,600.19
599.16,599.16,600.18,600.18
599.17,599.17,600.17,600.17
599.17,599.17,600.16,600.16
599.17,599.17,600.15,600.15
599.17,599.17,600.14,600.14
599.18,599.18,600.13,600.13
599.18,599.18,600.12,600.12
599.18,599.18,600.1,600.1
599.19,599.19,600.09,600.09
599.19,599.19,600.08,600.08
599.19,599.19,600.07,600.07
599.19,599.19,600.06,600.06
