0.004268,0.004268,-0.071999
0.0043447,0.0043447,-0.072477
0.0044222,0.0044222,-0.072955
0.0045005,0.0045005,-0.073433
0.0045797,0.0045797,-0.07391
0.0046596,0.0046596,-0.074388
0.0047403,0.0047403,-0.074865
0.0048218,0.0048218,-0.075343
0.0049041,0.0049041,-0.07582
0.0049873,0.0049873,-0.076297
0.0050712,0.0050712,-0.076775
0.005156,0.005156,-0.077252
0.0052416,0.0052415,-0.077728
0.0053279,0.0053279,-0.078205
0.0054151,0.0054151,-0.078682
0.0055032,0.0055032,-0.079159
0.005592,0.005592,-0.079635
0.0056817,0.0056816,-0.080112
0.0057721,0.0057721,-0.080588
0.0058634,0.0058634,-0.081064
0.0059556,0.0059556,-0.08154
0.0060485,0.0060485,-0.082016
0.0061423,0.0061423,-0.082492
0.0062369,0.0062369,-0.082968
0.0063323,0.0063323,-0.083444
0.0064286,0.0064286,-0.083919
0.0065257,0.0065257,-0.084395
0.0066236,0.0066236,-0.08487
0.0067224,0.0067224,-0.085345
0.006822,0.006822,-0.085821
0.0069224,0.0069224,-0.086296
0.0070237,0.0070237,-0.086771
0.0071258,0.0071258,-0.087246
0.0072288,0.0072288,-0.08772
0.0073326,0.0073326,-0.088195
0.0074372,0.0074372,-0.088669
0.0075427,0.0075427,-0.089144
0.0076491,0.007649,-0.089618
0.0077562,0.0077562,-0.090092
0.0078643,0.0078643,-0.090566
0.0079731,0.0079731,-0.09104
0.0080829,0.0080828,-0.091514
0.0081934,0.0081934,-0.091988
0.0083049,0.0083048,-0.092462
0.0084171,0.0084171,-0.092935
0.0085303,0.0085302,-0.093409
0.0086442,0.0086442,-0.093882
0.0087591,0.0087591,-0.094355
0.0088748,0.0088748,-0.094828
0.0089913,0.0089913,-0.095301
0.0091087,0.0091087,-0.095774
0.009227,0.009227,-0.096247
0.0093461,0.0093461,-0.096719
0.0094661,0.0094661,-0.097192
0.009587,0.0095869,-0.097664
0.0097087,0.0097086,-0.098136
0.0098312,0.0098312,-0.098608
0.0099547,0.0099547,-0.09908
